Common in ALL,191
BSSID,SSID,Wigle-Encryption,RPi-Encryption,Wigle-Channel,RPi-Channel,Wigle Avg RSSI,RPi Avg RSSI
d0:04:92:03:04:88,PLDTHOMEFIBRQuantum,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,9,9,-82,0
5a:8b:f3:9c:cd:d8,PLDTOFFICE,[WPA-PSK-TKIP][WPS][ESS],WPA,7,7,-83,0
5a:8b:f3:9c:cd:e0,AF Holy Spirit,[WPA-PSK-CCMP+TKIP][WPS][ESS],WPA,4,4,-79,0
60:31:97:dd:09:bc,Wolfe_Company,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,12,12,-78,0
06:d6:aa:9e:e9:5a,AndroidAP,[WPA2-PSK-CCMP][ESS],WPA2,6,6,-72,0
3e:36:bb:9d:da:53,Bernadette Chantle?s iPhone,[WPA2-PSK-CCMP][ESS],WPA2,1,1,-76,0
fc:8b:97:38:fc:db,PLDTMyDSL_therockh,[WPA2-PSK-CCMP][WPS][ESS],WPA2,11,11,-85,0
c0:c1:c0:e7:d4:69,The Frame,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-86,0
e0:a3:ac:4f:a2:5c,1,[WPA2-PSK-CCMP][ESS],WPA2,1,1,-83,0
24:1f:a0:79:0d:18,B315_90D18,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],WPA2/WPA,5,5,-87,0
88:3f:d3:05:d5:c0,AnytimeFitnessMembers,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,7,7,-87,0
32:cd:a7:38:42:0f,DIRECT-8aM2020 Series,[WPA2-PSK-CCMP][WPS-AUTH][ESS][P2P],WPA2,11,11,-86,0
c0:c1:c0:e7:d4:6a,The Frame-guest,[ESS],OPN,1,1,-85,0
c8:60:00:e4:70:cc,wcnet,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-86,0
00:13:33:cc:2f:03,PLDTHOMEDSLMPBAC1214,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-89,0
d4:6e:0e:49:c1:cc,TP-LINK_C1CC,[WPA2-PSK-CCMP][WPS][ESS],WPA2,2,2,-80,0
90:61:0c:1f:5c:75,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-89,0
66:a5:c3:8f:96:49,Myke?s iPhone,[WPA2-PSK-CCMP][ESS],WPA2,1,1,-84,0
00:13:33:ff:73:4d,PLDTHOMEDSLNailCocktales,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-89,0
94:46:96:0f:83:6c,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-85,0
00:13:33:ea:58:2a,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-76,0
10:7b:44:ca:85:40,Hermes,[WPA2-PSK-CCMP][WPS][ESS],WPA2,6,6,-76,0
cc:06:77:76:52:60,PLDTHOMEFIBR65260,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,8,8,-84,0
5c:54:6d:43:f1:b8,RGAMILLA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-87,0
0c:54:a5:15:7b:6b,481534,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,6,-87,0
cc:a2:23:a1:18:f0,modnails,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-77,0
10:7b:44:ca:60:48,Hermes,[WPA2-PSK-CCMP][WPS][ESS],WPA2,6,6,-88,0
88:3f:d3:05:d3:5c,HUAWEI-W8KB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,7,-92,0
